,threshold
0,0.0141361905261874
1,0.0036627338267862
2,0.0077131749130785
3,0.0193892307579517
4,0.0269243717193603
5,0.011976390145719
6,0.014747904613614
7,0.0004355635028332
8,0.0149725144729018
9,0.001316599198617
