,threshold
0,0.4496227502822876
1,0.3883198201656341
2,0.3562843203544616
3,0.298247218132019
4,0.4385020732879638
5,0.4251146614551544
6,0.4341979026794433
7,0.2845156490802765
8,0.3436572253704071
9,0.3261722922325134
