,threshold
0,0.0015385682927444
1,0.0006175263551995
2,0.0014237745199352
3,0.0001627063029445
4,0.001902371761389
5,0.0006754832575097
6,0.0008196207927539
7,0.0021725625265389
8,0.0004220827540848
9,0.0006830523489043
