,threshold
0,0.1051242128014564
1,0.0922926068305969
2,0.0994595140218734
3,0.0824442058801651
4,0.0792957991361618
5,0.072281502187252
6,0.0954500809311866
7,0.0436021983623504
8,0.0734143629670143
9,0.0542230121791362
