,threshold
0,0.159443125128746
1,0.175675019621849
2,0.1815598160028457
3,0.2127318680286407
4,0.1937155872583389
5,0.1311574429273605
6,0.2421468198299408
7,0.164654865860939
8,0.2011494487524032
9,0.1703412532806396
