,threshold
0,0.000651930575259
1,0.0006640456267632
2,0.007218284998089
3,0.0021461523137986
4,0.0012260759249329
5,0.0005806351546198
6,0.0083108721300959
7,0.0032738070003688
8,0.0002077087265206
9,0.0016663705464452
