,threshold
0,0.0002518623368814
1,0.0011312034912407
2,0.0008880426757968
3,0.000496806751471
4,0.0012301608221605
5,0.0008584852912463
6,0.0002407601568847
7,0.0007967063575051
8,0.0017376942560076
9,0.0015417954418808
