,threshold
0,0.0080689117312431
1,0.0061783450655639
2,0.0107948025688529
3,0.012933705933392
4,0.0074981972575187
5,0.000167274614796
6,0.0103498054668307
7,0.0073629915714263
8,0.0012240845244377
9,0.0001633148203836
