,threshold
0,0.003057480789721
1,0.0040516722947359
2,0.0025351848453283
3,0.0045190006494522
4,0.0001927299890667
5,0.000583435583394
6,0.0027324347756803
7,1.884532684925944e-05
8,0.0009825642919167
9,0.0006906135822646
