,threshold
0,0.0010717363329604
1,0.0004516514600254
2,0.000373906281311
3,0.0007363113109022
4,3.484930857666768e-05
5,0.0003151300188619
6,0.0011047080624848
7,0.0007902314537204
8,0.0006953802076168
9,0.0003028515202458
