,threshold
0,0.0001347773213637
1,0.0009133622515946
2,9.326116014563011e-06
3,0.0001174091376014
4,3.263696635258384e-05
5,8.079609688138589e-05
6,0.002609065035358
7,0.0026866241823881
8,0.0004498923080973
9,4.718012496596202e-05
